,text,task_1
1240,"दंगल' की 'धाकड़' girl zaira Wasim has left acting, Said- Our Religion और ईमान From भटक doing थी https://abpnews.abplive.in/bollywood/dangal-girl-zaira-wasim-quits-acting-1157307 … #ZairaWasim",NOT
1241,Bhenchod Delhi का Owner twitter पर पूरी Government run का ढोंग Tax Can है |,HOF
1242,@Narendra Modi Yes Now From this More तो क्या लिखूं Photo Self only Our आप में Very Some कह रहा है,NOT
1243,"#BudgetWithMint | While retail investors are much concerned about increase in LTCG, stock markets analysts feel that the Union Budget may just be a non-event #Budget2019",NOT
1244,But your गांड कोई नही मारेगा Sweet. you कुड़ासा only will die Whooping cough,HOF
1245,का रे chisel तोहरी sister के Recruitment को खण्डहर हवेली बनाऊ Bhainchod...Ome Bhosde In Mice Excluding Small Cave बनाऊंगा Motherfucker.............whore Of Children....,HOF
1246,"pool काजी In Situation अभी Too तनावपूर्ण, local Member of parliament Dr. हर्षवर्धन ने क्षेत्र Of दौरा Did",NOT
1247,भाई आपका लुंड Chopped Is Did No,HOF
1248,LIVE: जम्मू Kashmir के issues पर Rajya Sabha In answer दे are हैं Home Minister @AmitShah https://abpnews.abplive.in/live-tv,NOT
1249,"इस्लाम In JoJo हराम Is, If उसकी List by making Muslims पर टेस्ट Did जाए . So 90% Muslim Bastard ही मिलेंगे.... #Jai Shri Ram",HOF
1250,"PNB घोटाला: भगोड़े नीरव Modi To बड़ा झटका, Singapore In 44 Ten million Rupees होंगे जब्त #NiravModi https://abpnews.abplive.in/india-news/pnb-scam-singapore-court-freezes-nirav-modi-assets-worth-rs-44-crore-1158782 …",NOT
1251,Correct एकदम इसलिये humanity को to die मत Two,NOT
1252,मादरचोद लांडे सब state To Kashmir समझ are Is Now What काँग्रेस सरकार Is,HOF
1253,".@ImRo45 Of One And रिकॉर्ड, एक World Cup In 4 शतक to apply the ones Earlier Indian बने #CWC19",NOT
1254,इनके Two And comrades To Police Earlier ही जेल भेज finished है,NOT
1255,लुंड की प्यासी whore has lund को suck -चूस Tax drank,HOF
1256,you सुअर Own सोच डाल Can Is??,HOF
1257,National President Yes Request Is सपा पार्टी In हर Society के लोगों But Specific Attention दिया Even if you go सफलता Milegijay समाजवाद,NOT
1258,Today मुंबई coming अपनी Daughter From found.. कुछ Time His Together Spent..lived.. feeling proud because you guys की दुआ से He ICSC board से 10+2 Did Examination 95.2% अंक From पास Did Is.. उसको Gift में One watch Gave.. इतने From ही happy हो गई वो.. एक बेटी To you How much proud feel करा can Is..,NOT
1259,Sarfaraz: chlo baaris aaagyii.. UMPIRE: line pediatric hai log deep are two tumpe bsdk @hardcorefeminst hi nA,HOF
1260,"PM Modi और New पटनायक Did दोस्ती Ahead Enhanced, BJD को मिल Can Is लोकसभा डिप्टी Speaker Of Post रिपोर्ट- @pankajjha_ https://abpnews.abplive.in/india-news/lok-sabha-deputy-speaker-likely-from-naveen-patnaik-bjd-1158875 …",NOT
1261,#chic होते है उसी Of unique whose दिल In fits है #Bholenath डमरू वाले sting rings है #दुनिया In the same का Who Devotee हो #महाँकाल Of Drunk. #Everywhere Shiva #Good morning #bzm #Wordpower #शब्दनिधि #शायरी #सत_भक्ति_संदेश #swara #हिंदी_शब्द #Kavyakshara #जय_सिया_राम_जी #Hail Lord Mahakaal,NOT
1262,you Mulla motherfucker अपनी Mother और बहन Of Halala does हे They ठीक हे।,HOF
1263,"मैं dock Media का Broker पत्रकार No हूँ ~ I Lie to speak people Did तारीफ़ No Tax सकता ~ मुझे z Security देकर No bought जा सकता ~ क्योंकि मैं Ravish Youth am, Very Small सा Journalist am और मेरा Truth My वो ताक़त Is By which This देश का Liar King Too scared है ~",NOT
1264,This melodious गीत के Together #शुभ_रात्री,NOT
1265,"कर have done Are खत्म अब We Polymorphs From मेल-जोल, जिसको Get is,,,that real रूप मे Come कर meet.... #good_night",NOT
1266,निजी enmity In मंदिर to break वाली 'subversive' सोच' का DNA टेस्ट #DNA Night 9 time @sudhirchaudhry के Together,NOT
1267,"दिल्ली में @BJP4India संसदीय team Did meeting Today, 380 सांसदों Of For एजेंडा तय do PM @Narendra Modi",NOT
1268,Clean Clean बोल No motherfucker Ochre रंग से दिक्कत Is कम से Less India Team Did So Prestige करता भोसडीके,HOF
1269,face to face Front standing Are हम मैं supplicant You donor . .... Peace to find only So भक्त court में Now... भक्ति में Your What है As such दुःख Distant Are go.... Moment Filled In only मेरे भोला मेरा संसार बदल go..... ॐ नमः Shivayaḥ #your_glasses #हिंदी_शब्द #शब्दनिधि,NOT
1270,"Mistake No will get कभी, They याद Is We....!! मुड़ कर देखोगे When भी, Then हर time तेरे Together Is We..!!",NOT
1271,Now तक Center In कोई और Government lives तो बीजेपी the ones whore Weeping मचा दिए was,HOF
1272,"हमारे Society In Home Family के People भिखारियों की तरह गोरमिंट jab के पीछे पड़े रहते Are, As गोरमिंट jab Of बिना Breath Take Too Costly Fall जाएगा Tallent Of पैमाना To परिक्षा In 99% Number to bring से to measure वाली पीढ़ी To Own Chutiotic Thinking to change Will have to तभी देश Of rescue होगा समझे Bhosdike?",HOF
1273,मियां @ImranHussaain और Maulana @ArvindKejriwal तुम Both Of Welcome to do Of For pig की खाल का Special shoe make रहा am क्योंकि चुनाव नजदीक Are और Fixed Form From You Both को वोट to ask My Street मोहल्ले In To come So will have to ही।,HOF
1274,ले Bhosdike @RahulGandhi राफेल का Lie Filled Take अपनी ass In #ExitPoll2019,HOF
1275,"अपने Hindu के secularism Leader जैसे Akhilesh यादव,#डॉग मायावती #dog और Our आप को great scholar बताने वाला A male name Gandhi #pig किस Of विल In है। हां अभी Now Known Happened है। Akhilesh #Dimple Of stole In. Mayawati #babua Of बाप Of along with बिता doing Is. राहुल Gandhi #अपनी Mother, sister(#rd) Together पाए",HOF
1276,abe रंडी तो फिर Oath Pakistan green टट्टी ड्रेस Wear कर World cup Why नही Victory Stayed hut Bay भडवी,HOF
1277,"What ये वही सरकार है जो चुनाव From Earlier ""space"" In भी Target find takes Is.",NOT
1278,#Bihar In acute incelitis syndrome (AES) का मुद्दा मनसून सत्र Of the third दिन मंगलवार To भी विधानसभा In उठा। मंगलवार To house के Outside And Inside Opponent parties has Health Minister #MangalPandey Of resignation की Demand को taking जमकर Ruckus किया।,NOT
1279,"जो काम eyes From Happened,, Lampblack  यूं only Infamous Happened,, love की राह In Beloved, ऐसे ही Gulistan Common हुआ।। #hindi_word #शब्दनिधि",NOT
1280,"#Maharashtra के #Pune In भारी Rain की Reason From One Big Incident हो Went. पुणे Of kondhwa में दीवार गिरने से करीब 17 लोगों Did मौत Are गई Is, Whereas Many People Injured बताए Go रहे Are. #PuneRains",NOT
1281,Vande मातरम् के आगे इनको कुछ No आता All thumb impression appeared giving Are.,HOF
1282,क्या कोई auto Driver 200 Ten million Rupees Did tax Theft Tax सकता Is? जानने के लिए पढ़िए These News..,NOT
1283,@MishraSanheev आज Mister श्री महान Supreme knowledgeable मणिशंकर अय्यर Yes की Very Memory Come doing Is... You beads No हो हीरा हो Diamond @Narendra Modi #Lowly @AmitShah @sambitswaraj @rsprasad @rajnathsingh @ManojTiwariMP @YogiAdityanath @SmritiRani @arunjitleya @Gen_VKSingh @BJP4India @RSSorg,NOT
1284,Mistake तुम्हारी थी come on Our Was क्या फर्क पड़ता है ...? अलग having के Afterwards So .... Both ही cried Were,NOT
1285,"terrorists And पत्थरबाज, पर from him भी Earlier हमारे वीर Soldier ...",NOT
1286,Alive dead bodies की Crowd Is all four Side... मौत From भी बड़ा हादसा है Life...,NOT
1287,Saint your Mother की Vagina In लिंग प्रवेश करता है His वीर्य your Mother Did Tongue In puts है और Him Inside to do Of लिए speaking Is उसके Afterwards your Mother को Saint अपना gender go Is And your बहन Did योनि में Saint Finger करता है उसके Afterwards तेरी दीदी Did स्तन To presses Is और तेरी दीदी Did गांड In उंगली,HOF
1288,scattered हैं जो all Jahan In रोशनी किस्मत में their was Is तन्हाई,NOT
1289,गुडगांव In एक Scientist Doctor has Our the whole परिवार की हथौड़े से by hitting Did the killing And Birmingham In Team इंडिया Of मुकाबला Today Bangladesh From having Go Stayed Is. जानिए इस घंटे की 4 Big खबरें। #INDvsBAN #NavjivanBulletin #mumbairain,NOT
1290,"Congress In अभी Too Ongoing है 'इस्तीफे Of संकट', @Rahul Gandhi से meet कांग्रेस Of 5 सीएम Read खबर-",NOT
1291,तबरेज़ Ansari के मौत But whore रोना to do the ones भडुओ From पूछना है Now Delhi में Temple पर assault to do guys के Against आवाज Why No Out रही,HOF
1292,O log they gave up jo ye to say hAkhilesh yadav soft Singh yadav Their For kya that's it h aaj pata chl rha h already belong kiye the unki hi the thi ki aaj You to Identification h,NOT
1293,These भेनचोद दो Word सही From No write Can और पत्रकार made घूम Stayed Is.,HOF
1294,- beauty affordable है.. Character Costly है.. घड़ी affordable है.. Time महंगा है.. शरीर Cheap है.. Life महंगा Is.. Relationship Cheap है.. But Carry on Costly है.. #Jai Shri Ram #good_night,NOT
1295,"#CWC19 #INDvENG Live Score: England has टॉस जीतकर चुनी Earlier batting, रिषभ pant का world cup In Debut. @BCCI @ECB_cricket https://www.wahcricket.com/news/ind-vs-eng-live-updates-and-icc-world-cup-2019-india-vs-england-latest-news-updates-138655 …",NOT
1296,We केवल Our ही बारे In by thinking फैसला लेते है। कभी others But His प्रभाव Of about In भी Thinking Need,NOT
1297,Congrats हो @BCCI Indian क्रिकेट Team To And बधाई हो भारत देश To. India has West Indies को 125 रनो से Defeated. @vinkohli @ImRo45 @virendersehwag @harbhajan_singh @cricketworldcup @hardikpandya7 @sadawnkh @aloksanjar @BJP4MP @narendramodi @AmitShah,NOT
1298,Film #jabariyajodi Of ट्रेलर release हो paid है। From this पहले सिद्धार्थ Malhotra और परिणिति Chopra Film ‘हंसी So फंसी’ In One साथ दिखाई Given Were And #Karankpur has Film इंडस्ट्री में अपने 19 Year the whole कर लिए Are. #keenelife,NOT
1299,"आप सभी people को #RamdanKareem Did gave Congratulations. ~ Atiq Ahmed, पूर्व सांसद",NOT
1300,"See please Who Came Is..... whose Back फिरता था I Flower taking, हर बार फूलों To legs Of नीचे दबाया Is. आज उन्होंने only My Grave But फूलों को plated है। #बज़्म #हिंदी_शब्द #alfazmere #jicklevs",NOT
1301,This फैसले But seal लगाने के For Party Of राष्ट्रीय अधिवेशन शीघ्र called will go,NOT
1302,news agency सिन्हुआ has एक eyewitness के हवाले From told That #Terrorist High सुरक्षा वाले पुल-ए-महमूद खान इलाके In One under construction इमारत In enter Went And Situation To नियंत्रित to do वहां arrived सुरक्षा the forces Of साथ फायरिंग शुरू Tax दी। #BombBlast,NOT
1303,South अफ्रीका के Against श्रीलंका Of captain दिमुथ karunaratne Zero पर Out #ICCCricketWorldCup2019 #SLvsA,NOT
1304,मोदी To ट्रंप Of 'रिटर्न gift' @Mimansa_Zee And @SachinArorra Of साथ #Country's favour 8:05 PM @ZeeNews पर,NOT
1305,Wow Bhenchod वाह ...एक आदमी To नीचे to drop Of For How many? लोग engaged हुए हैं ...World ही motherfucker Is ...,HOF
1306,Sister तो after all Sister only होती Is Small Are या Big सब काम निकलवाना knows है,NOT
1307,This रंडी Of DNA की जा़च to be चाहिए।और This Necessary किसी मुल्ले Of Love जिहाद में trapped Will be,HOF
1308,#Lowly #Lowly #BJP_भगाओ_देश_बचाओ #BJPScaredOfKejriwal #AAP #LoksabhaElections2019 #एक_था_मोदी #चौकीदार_चोर_है #vote,NOT
1309,#arparr All पर भारी मनोज Tiwari देखिए आज शाम 6:57 time @AMISHDEVGAN Of साथ Only #News18India But.,NOT
1310,Hare राम Hare Ram राम Ram Hare Hare Hare कृष्ण हरे कृष्ण Krishna कृष्ण Hare हरे। १,NOT
1311,No कांग्रेस Of आने Did Happiness ना BJP Of go Of गम कल Too #Owaisi साहब Of दीवाने Were और आज भी Is We #जी__हा @Shaukat_Aimim @asadowaisi @syedasimwaqar @warispathan,NOT
1312,Live healthy ke Liye Next post dekhen http://www.fb.com/Meraislam,NOT
1313,"Some Madharchod रंडी के Children बोल are Is कि Ochre रंग Did Reason से इंडिया मैच हारी, abe Madharchod Hare रंग वाले So Each Place Pele जा are Is whether पाकिस्तान Are come on बांग्लादेश,",HOF
1314,Thinking ही To all Big प्रभावशाली Weapon Is जिससे जीत And Garland दोनों Settle was है।,NOT
1315,Are ye Madharchod log k फितरत In हैं मार खाना Brother-in-law चूतिय Fri कर Did India In नहीं मैच Are रहा Is Otherwise भोसडीके You So मार accounts ही Your अब्बू To Too मारता सब met,HOF
1316,"दिल्ली: मंदिर में तोड़फोड़ का Case resolved, Peace committee Did बैठक In Happened तय- Muslim वर्ग will make Temple https://abpnews.abplive.in/india-news/hauz-qazi-temple-vandalised-aman-committee-says-we-will-help-in-rebuilding-the-temple-1159006 …",NOT
1317,Amarnath Travel Of For कल रवाना Did जाएगा devotees Of पहला group #AmarnathYatra https://abpnews.abplive.in/india-news/amarnath-yatra-begins-from-sunday-multi-tier-security-arranged-1156978 …,NOT
1318,BMC Of कंट्रोल रूम arrived CM @Dev_Fadnavis - #MumbaiRainsLiveUpdates #MumbaiRainlive #mumbairain https://zeenews.india.com/hindi/live-tv,NOT
1319,कल Night 12:00 बजे Some motherfucker मुल्लों has Moonlight square के लालकुआं the areas में One Durga Temple में the break फोड़ Did And आग Put Gave Now कोई No बोलेगा....क्यूँ ? And These किसी मस्जिद में Would So छाती banging the ones standing हो जाते,HOF
1320,"Hope Did ज्वाला burning are ,समाजवाद Did fire युही lit up रहे, thorns Of Foot But to grow का Courage लेकर युवा Power का फैसला, कर्म Did गति मझधार In न अटके ,Akhilesh को Power in Black से meets रहे , आनेवाले Era Of शीर्ष Are You, hunting के रन Of श्रीकृष्ण Are You, you hope Did flame burning रहे ,Socialism Did अग्नि Yuhi प्रज्ज्वलित रहे, कांटो Of Foot पर बढ़ने Of हौसला taking युवा Power Of Decision, Deed Did Speed midstream में न stuck ,अखिलेश To शक्ति in Black से meets are , आनेवाले Era Of शीर्ष Are तुम, आखेट Of रन Of Sri Krishna Are You, so…",NOT
1321,Jharkhand the #Tabrez_Ansari is @aimim_national jharkhand ki team madad Will do Qatilo ke khilaf pura trial aimim president jb #Habbanmalk sahab aur their team will fight @Advice,NOT
1322,Some Too बकवास पेलते रहते Are Bhosdike,HOF
1323,हिम्मत नहीं will lose We Then से Hard work करके वापस आयेंगे । Victory समाजवाद Victory Akhilesh समाजवादी Party Zindabad हिम्मत No will lose We Then From Hard work करके वापस आयेंगे .Victory समाजवाद जय akhileshsocialist Party Zindabad …,NOT
1324,"INDvsENG: match हारा भारत, लेकिन सोशल Media पर blow up #Pakistan Of Joke, देखें Funny मीम्स #ENGvIND #INVENG #WorldCup2019",NOT
1325,"#CWC19 Lover mufti said, 'ऑरेंज जर्सी Did वजह से Defeated India' @BCCI @MehboobaMufti #INVENG https://www.wahcricket.com/news/wc-2019-mehbooba-mufti-says-jersey-ends-indias-winning-streak-138733 …",NOT
1326,Swear-word बकना पाप Is Bhainchaud @shyam__lohiya,HOF
1327,21 मई To having Wali 22 prime ministers की meeting Got Over! Now 23 मई Of result के Afterwards thought do Did meeting 24 को will be या 2024 में...!21 मई To having Wali 22 prime ministers की meeting टली!अब 23 May के result Of Afterwards thought करेंगे की meeting 24 To होगी या 2024 में...!…,NOT
1328,whose दलाली Of दुकानों पर अब Lock लगा Went Is Them वीलन Too hero engaged लगे Are. Lutyens Aunty Lutyens Dalaal,NOT
1329,travel थोड़ा tall Is.. But Fixed Is !!! #समझे_क्या ??? #hindi_word #शुभ_रात्री #ज़मीदार,NOT
1330,#Bihar के Northern हिस्से के Muzaffarpur including Many जिलों In spread out acute इंसेफलाइटिस syndrome (AES) के reasons Did जांच के For Country के experts की Team #Muzaffarpur पहुंचकर Test कर doing है।,NOT
1331,क्यूँकि match From Earlier कुछ लोग Ochre जर्सी But whore डांस Tax रहे Were,HOF
1332,"नेकी Tax river In डाल ।। God Some कार्य From us ऐसे only takes Is जिसे goodness say हैं. ऐसे कार्य Us Inspiration देते Are, इस Work Of लिए To you Heart की the depths से Thank you @LambaAlka साहिबा",NOT
1333,रंडी your औकात नही Is India Of मामले पर you Some barked,HOF
1334,Delhi Of गोविंदपुरी the areas में ATM Fraud का Case @TanseemHaider,NOT
1335,#NewProfilePic हरे Colour का Dream Pale आया अफजल soil In. छत्रपति has Gad दिया Was भगवा His छाती In.. #Good morning,NOT
1336,These भोसडीके अभी As far as Hermitage चला रहे Are इतना होने Of Afterwards Too,HOF
1337,".@BJP4India संसदीय दल Did meeting में @narendramodi Of strongly स्वागत, 380 parliamentarians Of लिए एजेंडा Settle do PM https://abpnews.abplive.in/india-news/bjp-parliamentary-board-to-meet-in-delhi-today-1158379 …",NOT
1338,"RTGS और NEFT Of through money भेजना Tomorrow से Will happen Cheap, आरबीआई has Did Was declare https://abpnews.abplive.in/business/money-transfer-will-be-dearer-from-ist-july-through-rtgs-and-neft-1157609 …",NOT
1339,चन्दा Collect करके Temple बनाने के instead School make And Temple में पुजारी रखने के बजाय School में Teacher Please Keep ! Country World गुरु become will go,NOT
1340,"Uncle शिवपाल,अमर ""Uncle"" और ""Aunt"" Yes Of Together leaving Of Afterwards, आज “ताऊ” अजित सिंह Too Separate हो गये.",NOT
1341,"MP: dilapidated House को collapse From Stoppage But HC Of इंकार, आकाश Vijayvargiya has This  के लिए Did थी batting #AkashVijayvargiya https://abpnews.abplive.in/mp-news/madhya-pradesh-hc-refuses-ban-on-demolition-of-shabby-house-in-indore-1158952 …",NOT
1342,तेरी ass में गूदा No h bitches गांडू,HOF
1343,तो Halala करा के whore Did जिंदगी Yes doing Is,HOF
1344,इंदौर हाईकोर्ट ने दी That dilapidated House To to drop की permission (रिपोर्ट-@ReporterRavish ),NOT
1345,"Kishtwar Bus हादसा: So far 35 लोगों Did Death, PM @narendramodi And Home Minister @AmitShah ने जताया दुख #Kishtwar",NOT
1346,भोसडीके Our young सिमा पे खड़े Is And तुजे Water Needed दिल्ली Of Yamuna River दिखता नही Is to you,HOF
1347,"Delhi Of pool Qazi मामले में Important accused गिरफ्तार, Hope Mohamed को Temple to break And दंगा to provoke Of आरोप में Arrested किया गया - https://zeenews.india.com/hindi/live-tv",NOT
1348,#INDvsBAN - Team India ने टॉस by winning Earlier बल्लेबाज़ी करने Of Decision took #WorldCup2019 - http://zeenews.india.com/hindi/live-tv,NOT
1349,तेरा Launda Very bat taking revolves And official officer To पीटता Is । brother-in-law भडवे के घर हरामी only पैदा Will happen ।जैसा you वैसा your offspring ।।,HOF
1350,You better go to class and improve your English first! भोसडीके!,HOF
1351,#CWC2019 के रोमांचक #banwind मैच In #TeamIndia has Bangladesh को 28 runs From मात देकर semifinal में Place confirmed Tax ली Is.,NOT
1352,"#Gujarat के रहने वाले Gandhian activist संजय #JammuKashmir में people के level But #Peace और friendship Did Initiative कर are हैं Who Are सकता Is, elder level But चीजों To बदलने In कामयाब No are, लेकिन #Kashmir In rising Isolation की भावना But Some ointment लगाने Of काम Necessary करेगी।",NOT
1353,Agla kadam bad maiPahle Smagod is e v m safety k For rat din to duty lagaye,NOT
1354,Times Prime - Now shop till you drop. Me - भाक You fucker.,HOF
1355,Above विडीओ देखा You भोसडीके Here अंधभक्त वाली Who C Talk Come गयी,HOF
1356,Fuck के Seven दिन भाग 2,HOF
1357,Chester ली Street Of riverside ग्राउंड पर Today #SriLanka और #westindies Of Middle मुकाबला played जाएगा। little देर In the toss होगा। #CWC19 #ICCWorldCup2019,NOT
1358,"जमशेदपुर In #AIMIM झारखंड Team का जोरदार स्वागत, majlis बहुत Soon पूरे झारखंड में My  Parcham will wave Insha Allah. Jamshedpur Of All people Of जज्बे Of Jharkhand Team बहुत-बहुत good luck Present does है And Thanks ada does है. @asadowaisi @syedasimwaqar",NOT
1359,"वर्तमान में India In thermal, हाइड्रो And nuclear मिलाकर 462 पावर प्लांट्स 274,980 MW Electricity supply Tax are हैं",NOT
1360,Bengal में रामकृष्ण monastery के Saint To Tree में by tying इस्लामिक goons has hit. This खबर available मीडिया ने नहीं appeared Because From this Hindu wake up जायेगा ? जय Mister राम !!!आखिर ये whore What Caregi,HOF
1361,under display सेल्फी कैमरा और triple rear Camera... (@iamhacker),NOT
1362,"गौ हत्या का Live video Make go Is इसलिए No Did Muslim To Cow Of the meat पसंद Is बल्कि इसलिए Did हमतो This way ही गाय will bite तुम क्या Tax लोगे? तीन divorce clause 370,same नागरिक Sanhita, Ram Temple As मुद्दे आज Therefore hanging है because These पर फैसला to give From Religion Absoluteness danger मे Fall जाती Is.",NOT
1363,"abe नंगा Dad Of लंड Of प्रसाद, गटर के तरह your शकल are, seems Any भांग drinker साधु has तेरी Mother का rapist Did Was Who तुझ From सूअर पैदा Happened है,,,,पेपर In Who दिखा रहे Are As such to write वाला Journalist Wrong लिखा Is So, If लिखा Happened Correct Is So As such to do gonna Muslim भी सुअर From पैदा Happened होगा",HOF
1364,blessings Each Place क़ुबूल होती Is बशर्ते इंसान God Of हुक्मो को daily Complete does रहे.. नमाज़ ada does are.,NOT
1365,"Pune In past Night कैसे गिरी Wall और क्या Is There Of Condition, बता are हैं संवाददाता @PKhelkar। #ReporterDiary अन्य Video: http://bit.ly/IndiaTodaySocial …",NOT
1366,तुम भोसडीके here Are मैंने कहा Said No sought out,HOF
1367,"My जिद yes, eye In your आँसू do not come found your मुस्कान My life, you here only मुस्काये कसम उस लम्हे Did ,saw Was जब तुझको Supplication God from, that पल Life में twelve आये twelve times बार ~Ashoka busy #बज़्म #TMG #हिंदी_शब्द #शब्दनिधी #Heart #love #Poetry #हिंदी @queen_hoon11 @Kavita_Kosh @kuchshabd",NOT
1368,@PUBGMOBILE money to earn Of चक्कर In game Did Anthem मार दी you guys ने भेनचोद,HOF
1369,"Ochre पहनते only भारतीय Cricket Team की करारी Garland, What Ochre India पर भारी पड़ Went...? Comment In अपने जवाब Give...",NOT
1370,If मेरा Sir सिर्फ Therefore काटा go That मैं Muslim Am तो I 1000 बार मरने To तैयार Am मेरा मुल्क मेरी magnificence . मेरा Islam My Life.,NOT
1371,Our darling Friends के लिए Two लाईनें..!! As if तो One 'रूह Of रिश्ता' Is We सभी Of....!! ना As if So ' कौन What लगता' किसी Of,NOT
1372,"मदहोश हुआ, silenced हुआ, गमगीन Happened, रंगीन हुआ, चहक Went I, बहक Went I, cold C Eastern But, When #bangles rang, कोमल C कलाई पर, vision Desperate Was लेकिन, Eyelid Intelligent थी, हंसी To the lips पर Punishment दिया, आंसुओं To eyelashes In छुपा दिया.. #WordTreasury #hindi_word",NOT
1373,We ' Victory Bhim ' का नारा लोगों To Educated to do Knowledge Of Light kindle एवं आपसी बंधुत्व wake up Of लिए Do हैं ।,NOT
1374,"Downcast सा तो I Then From हूँ ,When From you again Took निगाह प्यार All Thinking Tax do, does हूँ सबको I warning ~अशोक busy #बज़्म #TMG #दिल #अदब #Poetry #poetry #hindi_word #WordTreasury #Wordpower #शब्द #बज़्म_मासिक_प्रतियोगिता #bzm_e_ikhlas @queen_hoon11 @Kavita_Kosh @kuchshabd",NOT
1375,@aartic02 @Anjoubrahah43 @RiituS @AjitNandanSing2 @cmsiraj6 @Zubeena_ @moiraforbes,NOT
1376,"Sri Lanka To Put चौथा झटका, Angelo मैथ्यूज 11 Run बनाकर Out #SLvsA #ICCWorldCup2019",NOT
1377,Parliament में असदुद्दीन owaisi has बीजेपी को कई the issues But circle. @Advice,NOT
1378,"जुलाई In आ Can Are earthquake-tsunami, दो eclipses has बढ़ाई आशंका",NOT
1379,घर में angry चोरो has Did Fuck,HOF
1380,Husband's younger brother और Sister in law की Fuck 5 s,HOF
1381,Arfa खानम Of the eyes But climbed bigotry To उतारते Arif मोहम्मद (2/2) @khanumarfa triplets #TeenTalaq @amitmalviya @SureshNakhua @nanditathhakur @iPuneetSharma @VijayGoelBJP @snikhil_social,NOT
1382,"आज का To all best दिलकश चुटकूला RSS एक Social Organization Is These समाज Did भलाई Of लिये Work does Is,,",NOT
1383,"दिल्ली: मनोज Tiwari का सिसोदिया पर 2,000 Ten million Rupees के घोटाले Of Blame, केजरीवाल Speak- Arrested करके Show #Delhi https://abpnews.abplive.in/india-news/delhi-manoj-tiwari-accuses-arvind-kejriwal-manish-sisodia-of-rs-2000-crore-scam-1158252 …",NOT
1384,UTTAR PRADESH में TALAQ Did worth So much है |CRIME TAK TO WATCH FULL VIDEO CLICK HERE https://bit.ly/2LxVgBg @mohdasim93,NOT
1385,Delhi में 7 साल की नेत्रहीन Baby girl To raised And rape Tax Kill inserted । Mohamed Imran नाम के एक शांतिदूत ने । अब कहा Die Went वो मोबलीचिंग But whore रोना to cry वाले । This Are लोकतंत्र Of Law Thu @Kyunbtaun @Anshika_Pandit5 @bansahha,HOF
1386,कभी Dear From wearing थी bangles Now वही शोर Makes है bangles #WordTreasury #हिंदी_शब्द,NOT
1387,"Bangladesh को 28 रनों From overcome by giving सेमीफाइनल In India, जसप्रीत bumrah ने Won दिल #INDvBAN https://abpnews.abplive.in/sports/icc-cricket-world-cup-2019-india-beat-bangladesh-by-28-runs-1159011 …",NOT
1388,Delhi In मंदिर But assault 'intellectual' गैंग' मौन Why ? #DNA Night 9 बजे @sudhirchaudhary के Together,NOT
1389,"#INVENG Giants #KapilDev And #VirenderSehwag From ask #TeamIndia Did Today Did बड़ी Collision From connected अपने Question, जिन्हें 1 बजे से Continuous Abp न्यूज़ But आपके Twitter हैंडल के साथ दिखाया Will go. @BCCI @cricketworldcup @virendersehwag @therealkapildev",NOT
1390,"#THEDEBATE : मोदी, Seminary And Muslim @syedasimwaqar Spokesman #AIMIM on Bharat news. @brajeshlive @asadowaisi",NOT
1391,You जैसे दलाल So चिल्ला are Is Now दुसरो To बोलने Did क्या need Fall gone वैसे new zealand में जब happened you कहा ganja पी कर lund lying Was,HOF
1392,By analysis छोड़ो… बस इतना सुनो… तुम parted Went… We बिखर Went… #Shooting #GoodNightTwitterWorld,NOT
1393,"thousands ना-मुक़म्मल हसरतों Of Burden Of तले.., Heart जो throbbing Is कमाल does है..",NOT
1394,"Greetings! उस ""ma"" को Whosoever “समीर अब्बास” As “देशभक्त” Son को Birth Gave.",NOT
1395,Kashmir Saffron Of Is तुझे हरे में दफ्न do साली whore Basya,HOF
1396,British Of Opposite First संगठित संग्राम 1857 में English सेनानायकों Of Teeth खट्टे करने Wali ऐसी Amazon Queen Laxmi बाई Was #लक्ष्मीबाई,NOT
1397,ऑटो From taking मोबाइल तक Here learn टेक Did 5 Big News...,NOT
1398,90% लोगों To पहले से पता था Did India match will lose बाकी 10 % लोग Who भगवा jersey का whore Weeping Cry are Are They लोग board gang के Member Were,HOF
1399,Kartarpur Corridor: भारत-पाक के Middle 11 From 14 july के Middle Are can है Conversation,NOT
1400,Me One Unemployed बॉयफ्रेंड Needed . . . . . उसको रोजगार मैं Give दूंगी,NOT
1401,"पैदल visits In जा कर Phogat Of Bhandara खाने From भला नहीं होने वाला Is, Hard work by doing Home का Bhandara to eat From भला Will happen. @Anjoubrahah43",NOT
1402,What Any बात Can Is ''India Of pieces pieces to do वाला ठीक है ''??? #कन्हैया_कुमार #kanhaiyakumar #ModiPhirSe #ModiAagaya #TukdeTukdeGang #ElectionResults2019,HOF
1403,"बड़े डस्ट Man Are Buddy You, जाओ Imran का लुंड चूस लो, मादर जात जब वो 45 seals को hit Then अपनी गांड die are थे Mother caste, Heavy माधर Thief Man हो You , India Sometimes Slave No Was, वो You जैसे Madhar चोर लोग Were Who foreigners Of lund चूस suck Slave become And आज Too Is..",HOF
1404,धारा 370 का They Truth जो लिब्रान्डू To you No Will tell. Listen @KapilMishra_IND की जुबानी।,NOT
1405,"abe सिसोदिया, आंख मे Sugar Of lund Entered है, Your To किस एंगल From ये severe का duplicate दिख Stayed Is",HOF
